,R_A,R_2,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10
BUSTED,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND
BJ,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND
S11,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT
S12,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT
S13,HIT,HIT,HIT,HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,HIT,HIT,HIT,HIT
S14,HIT,HIT,HIT,HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,HIT,HIT,HIT,HIT
S15,HIT,HIT,HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,HIT,HIT,HIT,HIT
S16,HIT,HIT,HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,HIT,HIT,HIT,HIT
S17,HIT,HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,HIT,HIT,HIT,HIT
S18,HIT,DOUBLE_DOWN | STAND,DOUBLE_DOWN | STAND,DOUBLE_DOWN | STAND,DOUBLE_DOWN | STAND,DOUBLE_DOWN | STAND,STAND,STAND,HIT,HIT
S19,STAND,STAND,STAND,STAND,STAND,DOUBLE_DOWN | STAND,STAND,STAND,STAND,STAND
S20,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND
S21,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND
H2,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT
H3,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT
H4,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT
H5,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT
H6,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT
H7,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT
H8,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT
H9,HIT,HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,HIT,HIT,HIT,HIT
H10,HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,HIT
H11,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT
H12,HIT,HIT,HIT,STAND,STAND,STAND,HIT,HIT,HIT,HIT
H13,HIT,STAND,STAND,STAND,STAND,STAND,HIT,HIT,HIT,HIT
H14,HIT,STAND,STAND,STAND,STAND,STAND,HIT,HIT,HIT,HIT
H15,HIT,STAND,STAND,STAND,STAND,STAND,HIT,HIT,HIT,HIT
H16,HIT,STAND,STAND,STAND,STAND,STAND,HIT,HIT,HIT,HIT
H17,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND
H18,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND
H19,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND
H20,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND
H21,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND
P4,HIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,HIT,HIT,HIT
P6,HIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,HIT,HIT,HIT
P8,HIT,HIT,HIT,HIT,SPLIT,SPLIT,HIT,HIT,HIT,HIT
P10,HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,DOUBLE_DOWN | HIT,HIT
P12,HIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,HIT,HIT,HIT,HIT
P14,HIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,HIT,HIT,HIT
P16,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT
P18,STAND,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,STAND,SPLIT,SPLIT,STAND
P20,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND
